Algorithm, InputSize, TimeMicroseconds
VectorAdd_Baseline,1000,4
VectorAdd_Reserving,1000,5
VectorAdd_Prealloc,1000,0
VectorAdd_Baseline,10000,14
VectorAdd_Reserving,10000,34
VectorAdd_Prealloc,10000,5
VectorAdd_Baseline,100000,129
VectorAdd_Reserving,100000,228
VectorAdd_Prealloc,100000,64
VectorAdd_Baseline,1000000,1283
VectorAdd_Reserving,1000000,1898
VectorAdd_Prealloc,1000000,583
VectorAdd_Baseline,10000000,12380
VectorAdd_Reserving,10000000,18149
VectorAdd_Prealloc,10000000,6645
