Algorithm, InputSize, TimeMicroseconds
MultiplyMatrices_MultiThreading,62500,6125
MultiplyMatrices_MultiThreading,250000,24413
MultiplyMatrices_MultiThreading,562500,74067
MultiplyMatrices_MultiThreading,1000000,112564
MultiplyMatrices_MultiThreading,2250000,334611
MultiplyMatrices_MultiThreading,4000000,785600
